combo,dataset,model,poisoner,budget,runs,poison_acc_mean,poison_acc_std,clean_acc_mean,clean_acc_std
cifar_r32p_4xl,cifar,r32p,4xl,150,10,0.020900000000000002,0.02502643047304634,0.92257,0.0024989108738719536
cifar_r32p_4xl,cifar,r32p,4xl,300,10,0.6607999999999999,0.176236457320524,0.91808,0.002017589320616737
cifar_r32p_4xl,cifar,r32p,4xl,500,10,0.8968999999999999,0.08556018025018672,0.9160599999999999,0.002349089658191482
cifar_r32p_4xl,cifar,r32p,4xl,1000,10,0.9280000000000002,0.08502025902362594,0.90785,0.0020919156558310715
cifar_r32p_4xl,cifar,r32p,4xl,1500,10,0.9466999999999999,0.06820891111545145,0.89907,0.002708443587499406x
